,gene_name,Bcells replicate 1 half_life,Bcells replicate 1 dataQual,Bcells replicate 1 R_sq,Bcells replicate 2 half_life,Bcells replicate 2 dataQual,Bcells replicate 2 R_sq,NK cells replicate 1 half_life,NK cells replicate 1 dataQual,NK cells replicate 1 R_sq,NK cells replicate 2 half_life,NK cells replicate 2 dataQual,NK cells replicate 2 R_sq,Hepatocytes replicate 1 half_life,Hepatocytes replicate 1 dataQual,Hepatocytes replicate 1 R_sq,Hepatocytes replicate 2 half_life,Hepatocytes replicate 2 dataQual,Hepatocytes replicate 2 R_sq,Monocytes replicate 1 half_life,Monocytes replicate 1 dataQual,Monocytes replicate 1 R_sq,Monocytes replicate 2 half_life,Monocytes replicate 2 dataQual,Monocytes replicate 2 R_sq,"Mouse Neurons, replicate 3 half_life","Mouse Neurons, replicate 3 dataQual","Mouse Neurons, replicate 3 R_sq","Mouse Neurons, replicate 4 half_life","Mouse Neurons, replicate 4 dataQual","Mouse Neurons, replicate 4 R_sq",Bcell_mean,NKcell_mean,Hepatocytes_mean,Monocytes_mean,MouseNeuorons_mean,Max_halflife
1859,GPAA1,,,,143.753,weak,0.956,,,,,,,,,,,,,90.919,weak,0.993,62.795,weak,0.982,86.619,weak,0.996,87.89399999999999,good,0.998,143.753,,,76.857,87.25649999999999,143.753
1860,GPALPP1,76.719,weak,0.9840000000000001,110.523,weak,0.988,,,,,,,,,,,,,,,,,,,,,,,,,93.621,,,,,93.621
1861,GPATCH1,53.236999999999995,weak,0.9540000000000001,59.57,weak,0.935,41.88399999999999,weak,0.9640000000000001,,,,,,,,,,,,,,,,,,,49.603,weak,0.941,56.403499999999994,41.88399999999999,,,49.603,56.403499999999994
1862,GPATCH11,57.826,weak,0.996,94.524,weak,0.998,,,,,,,,,,,,,,,,,,,,,,33.318000000000005,weak,0.986,76.175,,,,33.318000000000005,76.175
1863,GPATCH4,16.215999999999998,weak,0.992,20.076,weak,0.9990000000000001,,,,,,,,,,,,,,,,,,,26.03,weak,0.9740000000000001,36.942,weak,0.9390000000000001,18.146,,,,31.486,31.486
1864,GPATCH8,44.13,good,0.98,,,,,,,,,,,,,24.273000000000003,weak,0.996,,,,,,,40.54,weak,0.968,32.08,weak,0.972,44.13,,24.273000000000003,,36.31,44.13
1865,GPCPD1,,,,,,,81.59899999999999,weak,0.894,68.208,weak,0.966,,,,,,,35.260999999999996,weak,0.88,33.742,good,0.982,20.598000000000003,weak,0.99,31.608,good,0.995,,74.9035,,34.50149999999999,26.103,74.9035
1866,GPD1L,,,,,,,,,,,,,,,,113.699,weak,0.9109999999999999,,,,,,,46.586999999999996,good,0.998,58.288999999999994,good,0.998,,,113.699,,52.437999999999995,113.699
1867,GPD2,249.502,good,0.968,,,,,,,,,,,,,,,,150.868,good,0.965,130.19899999999998,good,0.945,68.431,good,1.0,94.36,good,0.997,249.502,,,140.5335,81.3955,249.502
1868,GPHN,44.543,good,0.9940000000000001,,,,,,,,,,,,,208.571,good,0.887,96.495,weak,0.914,77.949,weak,0.9990000000000001,54.621,good,0.9990000000000001,67.582,good,0.998,44.543,,208.571,87.22200000000001,61.1015,208.571
1869,GPI,97.311,good,0.9670000000000001,140.912,good,0.993,1254.5339999999999,good,1.0,656.988,good,0.998,218.025,good,0.9790000000000001,240.856,good,0.983,231.16400000000002,good,0.973,182.865,good,0.9520000000000001,58.801,good,0.998,72.937,good,0.9990000000000001,119.1115,955.761,229.4405,207.0145,65.869,955.761
1870,GPKOW,37.58,good,0.993,61.551,weak,0.937,,,,62.45399999999999,weak,0.993,,,,,,,29.904,weak,0.995,35.809,good,0.953,20.849,weak,0.998,29.599,good,0.995,49.5655,62.45399999999999,,32.8565,25.224,62.45399999999999
1871,GPM6A,,,,,,,,,,,,,,,,,,,,,,,,,39.817,good,1.0,45.318999999999996,good,1.0,,,,,42.568,42.568
1872,GPN1,48.108000000000004,weak,0.988,58.361000000000004,weak,0.924,100.666,weak,0.982,,,,,,,,,,50.72,weak,0.9229999999999999,33.835,weak,0.993,7.017,weak,0.9129999999999999,,,,53.234500000000004,100.666,,42.2775,7.017,100.666
1873,GPR107,,,,,,,,,,,,,57.778999999999996,weak,0.973,49.098,weak,0.996,,,,,,,44.858000000000004,weak,0.988,49.908,good,0.997,,,53.4385,,47.383,53.4385
1874,GPR108,,,,,,,,,,,,,30.153000000000002,weak,0.998,24.101,good,0.9059999999999999,,,,,,,22.029,weak,0.852,55.961999999999996,weak,0.915,,,27.127000000000002,,38.9955,38.9955
1875,GPR180,,,,59.398,weak,0.865,,,,,,,,,,,,,95.336,weak,0.9209999999999999,,,,,,,,,,59.398,,,95.336,,95.336
1876,GPR183,43.201,weak,0.898,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.201,,,,,43.201
1877,GPS1,122.926,good,0.991,146.06799999999998,good,0.998,,,,359.63300000000004,good,0.9790000000000001,,,,,,,135.852,good,0.987,98.281,good,0.988,64.913,good,0.998,72.59899999999999,good,0.9990000000000001,134.49699999999999,359.63300000000004,,117.0665,68.756,359.63300000000004
1878,GPS2,,,,,,,,,,,,,,,,,,,40.505,weak,0.9470000000000001,28.195999999999998,weak,0.996,39.106,weak,0.988,,,,,,,34.3505,39.106,39.106
1879,GPSM3,,,,168.40099999999998,weak,0.907,,,,,,,,,,,,,,,,,,,,,,,,,168.40099999999998,,,,,168.40099999999998
1880,GPX1,381.652,weak,0.8759999999999999,,,,548.475,weak,0.902,367.37199999999996,weak,0.975,,,,378.026,weak,0.977,82.455,good,0.992,66.4,good,0.988,,,,94.994,weak,0.977,381.652,457.9235,378.026,74.42750000000001,94.994,457.9235
1881,GPX4,,,,129.82,good,0.998,,,,210.81900000000002,weak,0.9359999999999999,429.68800000000005,good,0.997,506.80699999999996,good,0.9229999999999999,53.979,good,0.9890000000000001,48.88399999999999,good,0.993,35.19,weak,0.986,37.759,weak,0.9990000000000001,129.82,210.81900000000002,468.2475,51.4315,36.4745,468.2475
1882,GRAMD4,,,,82.95200000000001,weak,0.9940000000000001,,,,,,,90.741,weak,0.9990000000000001,,,,44.326,weak,0.998,32.271,weak,0.955,56.812,good,0.9990000000000001,56.195,good,0.9990000000000001,82.95200000000001,,90.741,38.298500000000004,56.5035,90.741
1883,GRAP2,,,,200.642,weak,0.904,,,,207.361,good,0.996,,,,,,,703.971,weak,0.94,336.332,weak,0.9390000000000001,,,,,,,200.642,207.361,,520.1514999999999,,520.1514999999999
1884,GRB2,61.507,good,0.9890000000000001,72.544,good,1.0,107.76799999999999,good,0.998,100.28,good,0.9990000000000001,46.187,weak,0.9670000000000001,54.308,weak,0.978,35.045,good,0.995,31.008000000000003,good,0.993,22.361,good,0.9990000000000001,25.318,good,0.9990000000000001,67.0255,104.024,50.2475,33.0265,23.8395,104.024
1885,GRHPR,119.491,good,0.953,182.826,good,0.988,,,,,,,296.125,good,0.9690000000000001,390.548,good,0.996,190.083,good,0.9790000000000001,139.809,good,0.98,158.469,weak,0.996,159.392,weak,0.9840000000000001,151.1585,,343.3365,164.946,158.9305,343.3365
1886,GRIPAP1,73.262,good,0.992,82.728,good,0.998,194.813,good,0.9990000000000001,161.19299999999998,good,0.998,54.409,good,0.996,75.02199999999999,good,0.993,105.096,good,0.948,81.222,good,0.9940000000000001,44.342,good,1.0,53.708,good,0.9990000000000001,77.995,178.003,64.71549999999999,93.15899999999999,49.025,178.003
1887,GRK6,156.286,weak,0.97,237.22299999999998,weak,0.968,331.792,weak,0.9129999999999999,351.337,weak,0.951,,,,,,,121.803,weak,0.982,58.303000000000004,weak,0.948,44.044,good,0.98,54.073,good,0.9990000000000001,196.7545,341.56449999999995,,90.053,49.058499999999995,341.56449999999995
1888,GRN,,,,,,,,,,,,,,,,,,,14.808,good,0.898,13.292,good,0.915,44.00899999999999,weak,0.9790000000000001,,,,,,,14.05,44.00899999999999,44.00899999999999
1889,GRPEL1,79.288,weak,0.9890000000000001,100.78399999999999,good,0.997,251.86,weak,0.91,215.46099999999998,weak,0.972,110.321,good,0.997,119.677,good,0.996,60.726000000000006,good,0.9059999999999999,79.421,good,0.988,57.556000000000004,good,0.997,65.018,good,0.998,90.036,233.6605,114.999,70.07350000000001,61.287000000000006,233.6605
1890,GRSF1,17.955,good,0.998,18.359,good,0.997,40.72,weak,0.998,35.946999999999996,weak,0.995,20.299,good,0.9890000000000001,20.298,good,0.9890000000000001,21.393,weak,0.977,16.230999999999998,weak,0.993,24.069000000000003,weak,0.9840000000000001,22.57,good,0.9890000000000001,18.157,38.3335,20.298499999999997,18.811999999999998,23.3195,38.3335
1891,GRWD1,43.231,weak,0.978,48.692,weak,1.0,,,,,,,,,,,,,43.19,weak,0.941,,,,29.5,good,0.996,32.748000000000005,good,0.9990000000000001,45.9615,,,43.19,31.124000000000002,45.9615
1892,GSAP,75.247,weak,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.247,,,,,75.247
1893,GSDMD,,,,,,,,,,211.283,weak,0.9990000000000001,,,,,,,144.69,weak,0.971,108.82700000000001,weak,0.907,,,,,,,,211.283,,126.7585,,211.283
1894,GSK3A,70.085,weak,0.95,86.571,weak,0.998,,,,124.397,weak,0.993,,,,,,,57.81100000000001,weak,0.995,47.372,weak,0.8640000000000001,44.883,good,0.998,55.858999999999995,good,0.9990000000000001,78.328,124.397,,52.5915,50.370999999999995,124.397
1895,GSN,,,,506.88,good,0.9940000000000001,859.347,good,0.9990000000000001,689.9789999999999,good,0.996,309.443,good,0.992,237.623,good,0.978,113.26,good,0.988,66.081,good,0.993,91.539,good,0.9890000000000001,144.77700000000002,good,0.993,506.88,774.663,273.533,89.6705,118.15800000000002,774.663
1896,GSPT1,46.438,weak,0.982,55.9,good,0.997,186.67,good,0.981,139.105,good,0.998,,,,,,,79.855,good,0.9840000000000001,62.21,weak,0.993,51.68899999999999,good,0.996,63.61600000000001,good,0.9990000000000001,51.169,162.8875,,71.0325,57.6525,162.8875
1897,GSPT2,,,,,,,144.248,weak,0.966,126.175,weak,0.9990000000000001,,,,,,,,,,,,,36.378,weak,0.9990000000000001,55.036,good,0.9990000000000001,,135.2115,,,45.707,135.2115
1898,GSR,,,,434.408,good,0.997,978.985,weak,0.997,904.1080000000001,good,0.995,131.045,good,0.9990000000000001,118.70299999999999,good,0.992,92.539,good,0.9940000000000001,88.838,good,0.986,93.41799999999999,good,0.9990000000000001,121.333,good,0.997,434.408,941.5465,124.874,90.6885,107.37549999999999,941.5465
1899,GSS,107.964,good,0.991,133.82299999999998,good,0.987,490.61,weak,0.855,,,,161.418,good,1.0,,,,140.248,good,0.9840000000000001,111.64200000000001,good,0.983,67.361,weak,0.898,,,,120.89349999999999,490.61,161.418,125.945,67.361,490.61
1900,GSTK1,229.204,good,0.9840000000000001,251.26,good,0.998,473.88300000000004,good,0.975,317.378,good,0.996,102.126,good,0.9940000000000001,106.96,good,0.9990000000000001,174.175,good,0.972,124.141,good,0.968,,,,,,,240.232,395.6305,104.543,149.15800000000002,,395.6305
1901,GSTO1,213.45,good,0.9840000000000001,254.549,good,0.997,783.296,good,0.998,472.775,good,1.0,732.048,good,0.966,,,,107.344,good,0.9890000000000001,92.064,good,0.972,52.742,good,0.996,70.908,good,0.996,233.9995,628.0355,732.048,99.704,61.825,732.048
1902,GSTP1,80.694,good,0.9840000000000001,114.262,good,0.9990000000000001,,,,,,,,,,,,,159.572,weak,0.975,125.26700000000001,good,0.961,61.161,good,0.9990000000000001,80.993,good,0.997,97.47800000000001,,,142.4195,71.077,142.4195
1903,GSTT1,,,,263.35900000000004,good,0.975,,,,,,,,,,,,,77.226,weak,0.9470000000000001,,,,,,,,,,263.35900000000004,,,77.226,,263.35900000000004
1904,GSTZ1,,,,,,,,,,,,,,,,,,,,,,85.419,weak,0.956,112.818,weak,0.9990000000000001,169.329,weak,0.985,,,,85.419,141.0735,141.0735
1905,GTDC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.586,weak,0.9470000000000001,,,,,94.586,94.586
1906,GTF2B,39.821,weak,0.995,39.436,good,0.9990000000000001,55.056000000000004,weak,0.995,47.5,weak,0.9990000000000001,19.644000000000002,weak,0.9940000000000001,21.822,weak,0.973,25.475,weak,0.9840000000000001,23.916,good,0.978,27.147,weak,0.986,28.708000000000002,good,0.987,39.6285,51.278000000000006,20.733,24.695500000000003,27.927500000000002,51.278000000000006
1907,GTF2E1,,,,77.236,weak,0.9990000000000001,100.995,weak,0.996,,,,,,,,,,42.691,weak,0.98,,,,43.106,weak,0.987,55.193000000000005,good,0.883,77.236,100.995,,42.691,49.1495,100.995
1908,GTF2E2,47.516999999999996,good,0.977,54.573,weak,0.973,,,,,,,23.074,weak,0.9940000000000001,25.52,weak,0.971,34.324,weak,0.9359999999999999,28.789,weak,0.995,45.037,good,0.966,52.681000000000004,weak,0.9470000000000001,51.045,,24.297,31.5565,48.859,51.045
1909,GTF2F1,64.392,good,0.99,69.97800000000001,good,0.9890000000000001,158.373,weak,0.997,129.877,weak,0.9840000000000001,,,,,,,49.876000000000005,weak,0.9159999999999999,53.371,weak,0.973,47.088,weak,0.986,,,,67.185,144.125,,51.62350000000001,47.088,144.125
1910,GTF2F2,74.05,weak,0.995,83.71700000000001,good,0.9990000000000001,248.423,weak,0.9420000000000001,242.3,weak,0.996,70.667,weak,0.853,,,,51.746,weak,0.8959999999999999,54.043,good,0.988,51.076,good,0.9790000000000001,56.583,good,0.9890000000000001,78.8835,245.3615,70.667,52.8945,53.829499999999996,245.3615
1911,GTF2H3,76.555,weak,0.9490000000000001,78.547,weak,0.97,,,,,,,,,,,,,,,,71.248,weak,0.991,,,,111.509,weak,0.992,77.551,,,71.248,111.509,111.509
1912,GTF2H4,124.899,weak,0.89,,,,,,,,,,,,,,,,,,,,,,87.447,weak,0.96,82.212,weak,0.953,124.899,,,,84.8295,124.899
1913,GTF2I,40.794000000000004,good,0.983,45.338,good,0.998,89.994,good,1.0,75.918,good,1.0,16.621,good,0.992,17.451,good,0.973,35.604,good,0.99,27.636999999999997,good,0.991,24.148000000000003,good,0.99,27.717,good,0.993,43.066,82.956,17.036,31.6205,25.9325,82.956
1914,GTF3C1,30.638,weak,0.995,,,,,,,56.486999999999995,weak,0.9890000000000001,16.732,good,0.945,17.061,weak,0.935,,,,34.023,good,0.9990000000000001,24.386999999999997,good,0.997,25.824,good,0.982,30.638,56.486999999999995,16.8965,34.023,25.1055,56.486999999999995
1915,GTF3C2,37.022,good,0.9890000000000001,47.093999999999994,weak,0.995,,,,118.26700000000001,weak,0.9390000000000001,39.505,weak,0.986,32.716,weak,0.9390000000000001,41.211999999999996,weak,0.9890000000000001,34.869,good,0.991,,,,38.325,good,0.995,42.05799999999999,118.26700000000001,36.1105,38.040499999999994,38.325,118.26700000000001
1916,GTF3C3,31.629,weak,0.971,37.232,weak,0.938,157.328,weak,0.996,,,,,,,,,,49.504,weak,0.982,37.83,good,0.987,29.394000000000002,weak,0.997,35.09,good,0.9990000000000001,34.4305,157.328,,43.667,32.242000000000004,157.328
1917,GTF3C4,75.548,weak,0.955,59.801,weak,0.991,258.77099999999996,weak,0.866,,,,65.077,weak,0.92,52.13399999999999,weak,0.966,78.949,weak,0.987,51.681999999999995,weak,0.9390000000000001,47.745,weak,0.978,54.956,good,0.988,67.6745,258.77099999999996,58.60549999999999,65.3155,51.3505,258.77099999999996
1918,GTF3C5,,,,41.729,weak,0.997,94.79299999999999,weak,0.884,99.958,weak,0.9390000000000001,,,,,,,58.593999999999994,weak,0.978,41.114,weak,0.977,,,,,,,41.729,97.37549999999999,,49.854,,97.37549999999999
1919,GTPBP1,64.609,good,0.986,72.28699999999999,good,0.9990000000000001,,,,94.02600000000001,good,0.9990000000000001,,,,,,,78.85600000000001,good,0.9940000000000001,60.474,good,0.986,37.273,good,1.0,43.49,good,1.0,68.448,94.02600000000001,,69.665,40.3815,94.02600000000001
1920,GTPBP10,27.36,weak,0.99,,,,,,,,,,18.442999999999998,good,0.97,18.494,good,0.963,32.598,weak,0.998,28.726,weak,0.981,,,,,,,27.36,,18.4685,30.662,,30.662
1921,GTPBP3,83.853,weak,0.96,,,,,,,328.414,weak,0.8959999999999999,,,,,,,,,,,,,,,,,,,83.853,328.414,,,,328.414
1922,GTPBP4,45.288999999999994,good,0.982,51.957,good,0.997,178.84900000000002,good,0.97,167.442,good,0.997,41.49100000000001,good,0.981,42.705,good,0.973,49.56399999999999,good,0.983,39.428000000000004,good,0.988,31.301,good,0.998,31.804000000000002,good,1.0,48.623,173.14550000000003,42.098,44.495999999999995,31.552500000000002,173.14550000000003
1923,GTPBP6,49.568999999999996,weak,0.9470000000000001,,,,,,,,,,,,,,,,50.507,weak,0.983,54.981,weak,0.972,,,,,,,49.568999999999996,,,52.744,,52.744
1924,GUK1,135.922,weak,0.971,118.928,weak,0.9670000000000001,354.111,good,0.9159999999999999,,,,103.869,good,0.9179999999999999,131.464,good,0.888,113.962,weak,0.988,86.014,weak,0.992,60.566,good,0.991,72.517,good,0.996,127.425,354.111,117.6665,99.988,66.5415,354.111
1925,GUSB,,,,343.53,weak,0.934,2810.54,weak,0.904,2198.776,weak,0.9620000000000001,390.31699999999995,good,0.965,486.361,good,0.987,388.344,weak,0.978,328.293,good,0.9940000000000001,302.80400000000003,weak,0.872,407.88,good,0.905,343.53,2504.658,438.33899999999994,358.3185,355.342,2504.658
1926,GXYLT1,,,,,,,,,,,,,79.755,weak,0.992,76.223,weak,0.998,,,,,,,,,,79.786,weak,0.9620000000000001,,,77.989,,79.786,79.786
1927,GYG1,155.34799999999998,weak,0.993,,,,408.329,weak,0.976,,,,,,,,,,106.161,good,0.9940000000000001,77.745,weak,0.95,,,,74.115,good,0.9229999999999999,155.34799999999998,408.329,,91.953,74.115,408.329
1928,GYS1,81.67399999999999,weak,0.971,103.77799999999999,weak,0.9740000000000001,292.692,weak,0.9740000000000001,202.928,weak,0.929,,,,145.007,weak,0.8540000000000001,209.859,good,0.855,247.22299999999998,weak,0.986,,,,82.431,weak,0.89,92.726,247.81,145.007,228.541,82.431,247.81
1929,GZMA,228.31599999999997,weak,0.9690000000000001,,,,224.201,good,0.9990000000000001,263.26099999999997,good,0.995,,,,,,,303.509,good,0.94,380.506,weak,0.95,,,,,,,228.31599999999997,243.731,,342.0075,,342.0075
1930,GZMH,,,,,,,626.7909999999999,good,0.975,795.927,good,0.996,,,,,,,,,,,,,,,,,,,,711.3589999999999,,,,711.3589999999999
1931,H1F0,,,,,,,,,,,,,78.08800000000001,good,0.998,81.456,good,1.0,124.646,weak,0.987,105.21799999999999,good,0.997,291.203,good,0.998,305.578,good,0.99,,,79.772,114.93199999999999,298.3905,298.3905
1932,H1FX,,,,872.247,good,0.998,658.3560000000001,good,0.993,564.697,good,0.992,14.815999999999999,good,0.9129999999999999,16.067,good,0.8909999999999999,139.998,good,0.985,152.024,good,0.995,90.01700000000001,good,0.9940000000000001,87.40899999999999,good,0.978,872.247,611.5265,15.4415,146.011,88.713,872.247
1933,H2AFX,,,,,,,,,,,,,,,,,,,,,,2838.487,weak,0.9790000000000001,,,,,,,,,,2838.487,,2838.487
1934,H2AFY,945.932,good,0.9590000000000001,995.922,good,0.995,2281.272,good,0.993,1585.87,good,0.985,63.123000000000005,good,0.996,58.248000000000005,good,0.996,115.551,good,0.981,104.655,good,0.972,207.65400000000002,good,0.9990000000000001,248.518,good,1.0,970.927,1933.571,60.685500000000005,110.10300000000001,228.086,1933.571
1935,H6PD,208.463,good,0.976,183.61599999999999,good,0.993,196.69099999999997,good,0.934,177.615,good,0.993,111.09100000000001,good,0.9440000000000001,195.023,good,0.9990000000000001,65.625,good,0.993,53.18,good,0.992,,,,,,,196.03949999999998,187.153,153.05700000000002,59.4025,,196.03949999999998
1936,HAAO,,,,,,,,,,,,,,,,,,,315.42400000000004,weak,0.865,,,,,,,,,,,,,315.42400000000004,,315.42400000000004
1937,HABP2,,,,,,,,,,,,,22.570999999999998,good,0.866,23.932,good,0.9420000000000001,,,,,,,,,,,,,,,23.2515,,,23.2515
1938,HABP4,,,,,,,,,,,,,62.672,weak,0.976,67.436,weak,0.99,,,,,,,,,,42.11600000000001,weak,0.907,,,65.054,,42.11600000000001,65.054
1939,HACL1,,,,,,,,,,,,,169.92700000000002,good,0.998,173.453,good,0.988,132.3,weak,0.943,,,,,,,178.396,weak,0.977,,,171.69,132.3,178.396,178.396
1940,HADH,463.07800000000003,good,0.9670000000000001,526.116,good,0.993,,,,1138.161,good,0.966,241.37900000000002,good,0.99,280.853,good,0.993,471.93699999999995,weak,0.919,,,,206.696,weak,0.981,287.532,good,0.985,494.597,1138.161,261.116,471.93699999999995,247.11399999999998,1138.161
1941,HADHA,189.30200000000002,good,0.9540000000000001,261.858,good,0.991,747.558,good,0.9690000000000001,,,,134.55700000000002,good,0.996,142.786,good,0.9990000000000001,151.07299999999998,good,0.966,113.51299999999999,good,0.966,68.928,good,0.9990000000000001,92.33200000000001,good,0.996,225.58,747.558,138.6715,132.29299999999998,80.63,747.558
1942,HADHB,248.345,good,0.9740000000000001,292.20599999999996,good,0.9890000000000001,620.318,good,0.986,512.658,good,0.9990000000000001,296.697,good,0.991,318.272,good,0.9890000000000001,162.014,good,0.9740000000000001,116.85600000000001,good,0.956,91.32,good,0.995,124.39200000000001,good,0.9940000000000001,270.27549999999997,566.488,307.4845,139.435,107.856,566.488
1943,HAGH,,,,,,,,,,,,,312.46299999999997,good,0.922,315.779,good,0.963,,,,77.437,weak,0.991,51.64,weak,0.997,56.641000000000005,good,0.9940000000000001,,,314.121,77.437,54.1405,314.121
1944,HARS,73.889,good,0.991,100.92299999999999,good,0.9990000000000001,392.098,good,0.992,358.351,good,0.998,66.61,weak,0.998,69.666,weak,0.9790000000000001,115.84100000000001,good,0.993,89.306,good,0.986,41.051,good,0.9990000000000001,48.856,good,1.0,87.40599999999999,375.22450000000003,68.138,102.5735,44.953500000000005,375.22450000000003
1945,HARS2,81.587,weak,0.993,99.15100000000001,good,0.992,168.793,weak,0.9940000000000001,162.855,good,0.97,72.13600000000001,good,0.983,67.55199999999999,good,0.97,70.518,weak,0.986,73.968,weak,0.993,51.158,good,0.996,55.479,good,0.9990000000000001,90.369,165.824,69.844,72.243,53.3185,165.824
1946,HAT1,26.111,weak,0.988,34.126,good,0.9990000000000001,88.37200000000001,weak,0.885,69.02,weak,0.915,,,,,,,47.751000000000005,weak,0.975,41.365,weak,0.98,,,,66.47800000000001,weak,0.981,30.118499999999997,78.696,,44.55800000000001,66.47800000000001,78.696
1947,HAUS1,60.917,weak,0.9670000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.917,,,,,60.917
1948,HAUS3,,,,64.675,weak,0.856,,,,,,,,,,,,,,,,,,,,,,,,,64.675,,,,,64.675
1949,HAUS5,65.578,weak,0.96,,,,,,,,,,,,,,,,,,,180.41299999999998,good,0.938,,,,,,,65.578,,,180.41299999999998,,180.41299999999998
1950,HAUS6,,,,57.068999999999996,weak,0.9990000000000001,,,,95.396,weak,0.938,,,,,,,,,,,,,,,,,,,57.068999999999996,95.396,,,,95.396
1951,HAUS8,77.667,weak,0.9470000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.667,,,,,77.667
1952,HAX1,,,,41.913999999999994,weak,0.975,,,,,,,80.02199999999999,weak,0.992,77.266,weak,0.951,,,,,,,40.678000000000004,good,0.992,32.836,good,0.996,41.913999999999994,,78.644,,36.757000000000005,78.644
1953,HBA1,,,,,,,,,,,,,,,,,,,33.582,weak,0.867,,,,,,,,,,,,,33.582,,33.582
1954,HBS1L,46.868,good,0.993,67.687,weak,1.0,151.19299999999998,weak,0.996,97.93799999999999,weak,0.9740000000000001,76.53699999999999,weak,0.9990000000000001,145.77,weak,0.9109999999999999,,,,61.291000000000004,good,0.978,42.326,good,0.997,53.958,good,0.998,57.2775,124.56549999999999,111.15350000000001,61.291000000000004,48.141999999999996,124.56549999999999
1955,HCCS,,,,,,,,,,,,,45.527,weak,0.95,35.313,weak,0.965,37.665,weak,0.98,40.681999999999995,weak,0.9890000000000001,41.56,weak,0.8759999999999999,54.74100000000001,weak,0.99,,,40.42,39.1735,48.15050000000001,48.15050000000001
1956,HCFC1,194.018,good,0.992,212.6,good,0.992,518.5459999999999,good,0.9990000000000001,410.936,good,0.996,49.876000000000005,good,0.9990000000000001,55.544,good,0.9990000000000001,133.053,good,0.9540000000000001,,,,51.211000000000006,good,0.9990000000000001,57.248000000000005,good,0.9940000000000001,203.309,464.741,52.71,133.053,54.2295,464.741
1957,HCK,39.525999999999996,weak,0.998,,,,,,,,,,,,,,,,52.707,good,0.99,40.186,good,0.988,,,,,,,39.525999999999996,,,46.4465,,46.4465
